id,last_name,first_name,MI,SF,full_name,on_board_date,ECI,SSN,LOA
1,Leveritt,Raynard,X,IV,"LEVERITT, RAYNARD X IV",08/06/1992,51215,314-59-4546,202205
2,Kettle,Francklyn,Y,,"KETTLE, FRANCKLYN Y ",02/04/2008,84075,871-01-4197,202205
3,Stanesby,Dicky,F,,"STANESBY, DICKY F ",12/13/1992,95143,163-47-3318,202205
4,Croxford,Baillie,V,,"CROXFORD, BAILLIE V ",09/14/1997,40070,462-31-0359,202205
5,Glowach,Amos,M,,"GLOWACH, AMOS M ",03/09/2012,4153,394-42-1438,202205
6,Rechert,Farly,A,,"RECHERT, FARLY A ",01/26/2006,57767,485-81-6109,202205
7,Sinson,Allayne,C,,"SINSON, ALLAYNE C ",10/14/2003,85894,710-09-1757,202205
8,Skocroft,Boigie,W,,"SKOCROFT, BOIGIE W ",10/31/2018,64979,496-26-3834,202205
9,Berkley,Barri,M,,"BERKLEY, BARRI M ",10/11/2002,85819,238-77-0872,202205
10,Sidlow,Deane,P,,"SIDLOW, DEANE P ",12/29/1993,56487,628-18-1095,202205
11,Cloke,Bron,D,,"CLOKE, BRON D ",11/13/2007,13566,892-68-5194,202205
12,Rhead,Isaak,F,,"RHEAD, ISAAK F ",11/11/2011,30713,388-62-6422,202205
13,Boother,Hillyer,S,,"BOOTHER, HILLYER S ",10/07/1995,56502,422-16-0023,202205
14,Bozworth,Rusty,H,,"BOZWORTH, RUSTY H ",07/30/1992,58425,137-40-5328,202205
15,MacPaike,Jamesy,V,,"MACPAIKE, JAMESY V ",10/01/1996,47270,583-07-0414,202205
16,Jentgens,Hakeem,C,,"JENTGENS, HAKEEM C ",02/06/2009,5948,425-95-3992,202205
17,Arnaudet,Randal,T,,"ARNAUDET, RANDAL T ",10/22/2016,1374,882-94-1474,202205
18,Garvill,Edgardo,S,,"GARVILL, EDGARDO S ",09/08/2011,96097,317-58-9605,202205
19,Libri,George,B,,"LIBRI, GEORGE B ",04/09/2007,82849,641-82-4847,202205
20,Kampshell,Patten,N,,"KAMPSHELL, PATTEN N ",02/17/2011,3105,124-88-5951,202205
21,Bartoszewski,Barnebas,P,,"BARTOSZEWSKI, BARNEBAS P ",08/25/1999,32741,453-35-5776,202205
22,Wakeham,Archie,M,,"WAKEHAM, ARCHIE M ",04/03/2014,36351,585-30-6648,202205
23,Gopsell,Vidovik,U,,"GOPSELL, VIDOVIK U ",11/05/2011,55592,848-65-1619,202205
24,Bazley,Merrill,L,,"BAZLEY, MERRILL L ",08/21/2015,56627,622-76-9351,202205
25,Staniland,Hale,H,,"STANILAND, HALE H ",07/01/1994,4278,333-34-8317,202205
26,Dracey,Dudley,U,,"DRACEY, DUDLEY U ",10/10/2016,78742,165-46-8836,202205
27,Skures,Vincent,A,Jr,"SKURES, VINCENT A JR",05/14/2019,28181,899-27-8022,202205
28,Cresar,Cy,D,,"CRESAR, CY D ",04/24/2011,89609,134-81-1880,202205
29,Cuppitt,Nev,O,,"CUPPITT, NEV O ",08/24/2015,91189,203-24-7256,202205
30,Baradel,Gabbie,D,II,"BARADEL, GABBIE D II",12/11/2006,55344,829-81-6464,202205
31,Dran,Wheeler,O,,"DRAN, WHEELER O ",08/14/2002,44343,587-68-5842,202205
32,Vaud,Demetre,E,Jr,"VAUD, DEMETRE E JR",12/26/1998,43033,701-96-9520,202205
33,Byneth,Homer,R,,"BYNETH, HOMER R ",07/25/2001,47699,420-03-6526,202205
34,Graybeal,Jens,T,,"GRAYBEAL, JENS T ",04/17/2015,28683,107-60-4060,202205
35,Spurryer,Giorgio,F,,"SPURRYER, GIORGIO F ",04/21/2008,71379,836-79-1931,202205
36,Rennenbach,Fields,C,,"RENNENBACH, FIELDS C ",11/12/2009,80478,778-80-6305,202205
37,Bricket,Sergio,Q,,"BRICKET, SERGIO Q ",11/06/2011,72606,539-29-4496,202205
38,Lakes,Ross,G,,"LAKES, ROSS G ",06/14/1999,47677,600-50-2254,202205
39,Pedri,Erin,D,,"PEDRI, ERIN D ",08/17/2003,26540,148-86-0541,202205
40,Borgesio,Emile,Q,,"BORGESIO, EMILE Q ",09/15/1994,5116,464-67-0081,202205
41,Gromley,Wiley,X,,"GROMLEY, WILEY X ",10/06/2004,88064,798-26-3182,202205
42,Gabala,Marcel,N,,"GABALA, MARCEL N ",04/01/2010,51565,731-44-8017,202205
43,Logue,Arron,M,,"LOGUE, ARRON M ",06/03/2012,81674,672-16-1284,202205
44,Buney,Danny,W,,"BUNEY, DANNY W ",10/24/1996,31846,717-17-4291,202205
45,Beglin,Frederich,B,,"BEGLIN, FREDERICH B ",03/24/1992,29755,249-01-4252,202205
46,Venton,Harold,R,,"VENTON, HAROLD R ",08/11/2018,83213,419-67-6487,202205
47,Formoy,Sloan,L,,"FORMOY, SLOAN L ",05/11/2008,24051,856-35-7409,202205
48,Macias,Garth,F,,"MACIAS, GARTH F ",10/19/2005,39155,274-02-3036,202205
49,Padillo,Llewellyn,W,,"PADILLO, LLEWELLYN W ",01/19/2008,16752,432-92-3285,202205
50,Shankland,Jonas,H,,"SHANKLAND, JONAS H ",03/14/1999,73586,460-03-0318,202205
51,Di Giacomo,Nicolis,H,,"DI GIACOMO, NICOLIS H ",03/26/2005,7098,389-82-9271,202205
52,Bruyet,Putnam,Q,,"BRUYET, PUTNAM Q ",05/27/2016,87442,458-26-9585,202205
53,Sebire,Jeffie,R,,"SEBIRE, JEFFIE R ",06/21/2006,94821,224-72-8756,202205
54,Plom,Fields,H,,"PLOM, FIELDS H ",06/07/2014,20383,759-35-6573,202205
55,Kubiak,Grady,X,,"KUBIAK, GRADY X ",09/08/2007,21036,543-62-4622,202205
56,Sherland,Jarrod,B,,"SHERLAND, JARROD B ",01/05/1999,31060,693-56-4142,202205
57,Maddaford,Weylin,T,,"MADDAFORD, WEYLIN T ",09/11/2006,14254,363-66-7042,202205
58,Ricardo,Jaime,W,,"RICARDO, JAIME W ",04/01/2004,41906,205-79-8263,202205
59,Revitt,Field,H,,"REVITT, FIELD H ",09/29/1993,69128,759-67-2952,202205
60,Marsie,Theodore,Q,,"MARSIE, THEODORE Q ",01/15/2013,11997,789-18-1205,202205
61,Sommerville,Stanislaus,Q,,"SOMMERVILLE, STANISLAUS Q ",11/11/2019,77438,541-52-9409,202205
62,Galpin,Colman,S,,"GALPIN, COLMAN S ",10/16/2012,98049,271-61-7066,202205
