id,last_name,first_name,MI,SF,full_name,on_board_date,ECI,SSN,LoA1,LoA2,LoA
1,Barnaby,Natale,L,,"BARNABY, NATALE L ",08/08/2005,69821,480-73-1249,2017,19,
2,Trustrie,Tallie,Q,,"TRUSTRIE, TALLIE Q ",12/14/1993,57203,356-78-7818,2016,12,
3,Wildsmith,Ruggiero,U,,"WILDSMITH, RUGGIERO U ",07/01/2015,07296,156-92-0146,2020,10,
4,Giorgione,Upton,I,,"GIORGIONE, UPTON I ",02/14/1992,76615,847-32-7888,2015,21,
5,Burfitt,Reuven,U,,"BURFITT, REUVEN U ",11/15/2001,31480,558-05-0451,2015,25,
6,Watkiss,Shermie,Z,,"WATKISS, SHERMIE Z ",10/25/2001,98226,329-60-5260,2021,17,
7,Taillant,Morlee,C,,"TAILLANT, MORLEE C ",08/08/2009,66556,852-89-2414,2021,25,
8,Darker,Sibyl,L,,"DARKER, SIBYL L ",10/03/1993,21458,611-02-6140,2017,12,
9,Massard,Wesley,C,,"MASSARD, WESLEY C ",05/08/1996,54269,693-89-1168,2015,11,
10,Holdall,Francisco,G,,"HOLDALL, FRANCISCO G ",07/11/2011,66990,536-42-5088,2019,15,
11,Sellner,Eldredge,E,,"SELLNER, ELDREDGE E ",05/05/1998,92534,357-02-4229,2019,18,
12,De Biasio,Nicolai,B,,"DE BIASIO, NICOLAI B ",05/01/2015,04412,543-62-6416,2018,23,
13,Sharpe,Tedie,Y,II,"SHARPE, TEDIE Y II",01/09/2009,58742,290-37-8138,2021,12,
14,Retallack,Neill,H,,"RETALLACK, NEILL H ",05/01/2008,90949,588-43-7357,2019,11,
15,Fothergill,Tony,Q,,"FOTHERGILL, TONY Q ",09/03/2019,34423,490-22-0806,2020,24,
16,Duetschens,Wilmer,Q,,"DUETSCHENS, WILMER Q ",12/09/2017,88193,664-39-8303,2019,25,
17,Sommerville,Avram,W,,"SOMMERVILLE, AVRAM W ",07/24/2004,66718,821-07-0053,2016,12,
18,Lethlay,Gareth,G,,"LETHLAY, GARETH G ",01/30/2002,87371,348-80-4222,2020,25,
19,Pennyman,Maurie,O,,"PENNYMAN, MAURIE O ",06/06/2003,08440,642-69-9497,2021,20,
20,Sutcliff,Loy,Z,,"SUTCLIFF, LOY Z ",07/05/2004,76050,897-37-7769,2015,17,
21,Romayn,Shelton,X,,"ROMAYN, SHELTON X ",10/04/2001,24280,762-67-8050,2019,23,
22,Arrighi,Richardo,M,,"ARRIGHI, RICHARDO M ",03/10/2005,24889,339-85-6269,2016,24,201624
23,Patchett,Morlee,V,,"PATCHETT, MORLEE V ",06/12/1999,01665,519-27-8942,2017,22,
24,Greenside,Levy,K,,"GREENSIDE, LEVY K ",11/11/2017,07971,311-40-7363,2020,22,
25,Cockayne,Brig,Q,,"COCKAYNE, BRIG Q ",07/18/2002,48238,601-19-5805,2018,20,
26,Sibbson,Owen,Z,,"SIBBSON, OWEN Z ",08/25/1996,23338,261-54-2343,2016,13,201613
27,Lafrentz,Brock,S,II,"LAFRENTZ, BROCK S II",10/31/2008,82129,578-99-0229,2017,10,
28,Fawdrey,Haily,T,,"FAWDREY, HAILY T ",07/16/2015,45720,777-41-8680,2015,18,
29,Vousden,Terrel,U,,"VOUSDEN, TERREL U ",10/23/2003,21443,529-27-6356,2020,18,
30,Iacavone,Ingram,J,,"IACAVONE, INGRAM J ",06/16/1994,15916,150-95-6936,2016,12,
31,Rowcastle,Dwayne,P,,"ROWCASTLE, DWAYNE P ",06/20/2007,33939,794-38-6796,2017,15,
32,Blomfield,Lazarus,L,,"BLOMFIELD, LAZARUS L ",04/15/2011,56731,141-42-8394,2016,11,
33,Godley,Edan,O,,"GODLEY, EDAN O ",12/01/2005,95528,200-28-7833,2020,16,
34,Kealey,Baird,F,,"KEALEY, BAIRD F ",10/19/2003,71203,117-88-3163,2021,21,
35,Duly,Tulley,J,,"DULY, TULLEY J ",11/18/2007,38135,327-24-7278,2018,11,201811
36,Dymick,Keene,N,,"DYMICK, KEENE N ",03/16/2001,74565,642-29-1502,2016,11,201611
37,Lowndsbrough,Elsworth,U,,"LOWNDSBROUGH, ELSWORTH U ",02/08/2014,24343,482-09-4020,2015,19,
38,Jeppensen,Slade,Y,,"JEPPENSEN, SLADE Y ",03/11/2010,55377,193-78-3683,2017,21,201721
39,Archambault,Porty,I,,"ARCHAMBAULT, PORTY I ",01/09/2017,21318,775-13-5668,2018,16,201816
40,Thyer,Judas,C,,"THYER, JUDAS C ",06/15/2019,17178,130-27-1923,2021,12,
41,Bedson,Jereme,X,,"BEDSON, JEREME X ",03/02/2019,68910,878-90-3585,2020,18,202018
42,Kreuzer,Cyril,H,,"KREUZER, CYRIL H ",02/11/2011,58933,530-37-5501,2018,23,
43,Veale,Haze,P,,"VEALE, HAZE P ",09/09/1994,93578,484-15-6725,2016,15,
44,Barnes,Randal,V,,"BARNES, RANDAL V ",08/07/1997,80477,140-61-3439,2015,24,
45,Prazer,Ignaz,A,,"PRAZER, IGNAZ A ",08/20/2001,73585,788-22-1933,2015,17,
46,McLese,Desi,X,,"MCLESE, DESI X ",05/14/2013,47638,198-39-3291,2015,15,
47,Ailsbury,Jasen,V,,"AILSBURY, JASEN V ",08/27/1998,98361,473-41-5702,2019,12,
48,Scrange,Selig,G,II,"SCRANGE, SELIG G II",03/13/2007,29229,763-16-8718,2020,12,
49,Gosby,Konrad,Q,,"GOSBY, KONRAD Q ",07/04/2013,09395,848-55-3594,2020,17,
50,Eric,Wilfred,M,,"ERIC, WILFRED M ",05/18/1994,85317,396-23-2949,2018,17,
51,Kibble,Erasmus,T,,"KIBBLE, ERASMUS T ",04/15/2007,21534,583-61-0804,2016,23,
52,Gow,Ambrosio,S,IV,"GOW, AMBROSIO S IV",02/17/2012,06204,198-35-4115,2016,24,
