id,last_name,first_name,MI,SF,full_name,on_board_date,ECI,FSSN,LoA
361,Wilcot,Fields,F,,"WILCOT, FIELDS F ",07/05/2000,75293,880-65-3699,201511
519,Shank,Dick,E,,"SHANK, DICK E ",04/11/2000,15369,712-57-8919,201511
521,Prater,Keen,L,,"PRATER, KEEN L ",05/06/2008,65810,637-79-4420,201511
754,Marcus,Cooper,C,,"MARCUS, COOPER C ",10/20/1995,81258,685-77-1749,201511
399,Littledike,Armando,Y,,"LITTLEDIKE, ARMANDO Y ",02/28/1994,6965,303-86-4363,201512
972,McWard,Harp,X,,"MCWARD, HARP X ",06/28/1995,1426,114-04-8298,201512
357,Buzzing,Gregoor,C,,"BUZZING, GREGOOR C ",05/02/2012,5833,667-81-6626,201514
923,Mably,Brennan,E,,"MABLY, BRENNAN E ",05/21/2016,73049,555-25-8266,201515
930,Dimitrov,Darrin,B,,"DIMITROV, DARRIN B ",07/03/2005,81179,711-16-9873,201517
1000,Rudall,Stacee,E,,"RUDALL, STACEE E ",10/18/2000,76834,335-90-3662,201517
135,Skittreal,Staford,A,,"SKITTREAL, STAFORD A ",10/30/2012,17908,751-12-3331,201518
692,McMains,Skipp,D,,"MCMAINS, SKIPP D ",01/06/2011,30425,815-99-6988,201518
66,Colbeck,Wayne,J,,"COLBECK, WAYNE J ",07/20/2008,48894,294-01-4882,201519
404,Dennis,Chariot,T,,"DENNIS, CHARIOT T ",12/20/2001,21818,169-64-3826,201519
530,Latch,Gannon,O,,"LATCH, GANNON O ",04/01/1994,38813,529-39-8222,201521
170,Toupe,Earlie,F,,"TOUPE, EARLIE F ",08/07/1995,86850,447-92-4331,201522
579,Daftor,Vail,M,,"DAFTOR, VAIL M ",06/23/1995,54508,538-13-7457,201523
745,Marciek,Vachel,T,,"MARCIEK, VACHEL T ",11/19/2005,56323,418-28-4400,201523
495,Krojn,Massimiliano,E,,"KROJN, MASSIMILIANO E ",10/22/2009,18168,156-71-4574,201524
496,Maroney,Verne,M,,"MARONEY, VERNE M ",04/03/2005,15409,114-14-1594,201524
895,Cathro,Jared,I,,"CATHRO, JARED I ",09/06/2014,12604,359-34-5426,201524
